"Bioproject.Accession";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Strain";"Phenotype";"Relevance";"Diseases";"Host.Name";"Ecosystem.Category";"Habitat";"Study.Name";"HumanHost";"Pathogenic"
"PRJNA64269";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp M5";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Mus musculus";"Mammals";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA32785";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria gonorrhoeae";"Neisseria gonorrhoeae sv. IB-1 35/02";"";"Human Pathogen, Medical";"Gonorrhea";"Homo sapiens";"";"Host";"Neisseria gonorrhoeae Genome sequencing Project";TRUE;TRUE
"PRJNA59723";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Urbana R8-2977";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Urbana R8-2977";TRUE;TRUE
"PRJNA40681";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Propionibacteriaceae";"Propionibacterium";"Propionibacterium acnes";"Propionibacterium acnes J165";"";"Comparative analysis, Human Microbiome Project (HMP), Medical";"Acne";"Homo sapiens";"Human";"Host, Human skin";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA86323";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae BSU92";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJEA31327";"Firmicutes";"Bacilli";"Bacillales";"Listeriaceae";"Listeria";"Listeria monocytogenes";"Listeria monocytogenes sv. 4a L99";"Pathogen";"Animal Pathogen, Cattle Pathogen, Comparative analysis, Human Pathogen, Medical, Poultry Pathogen, Swine Pathogen";"Food poisoning, Gastroenteritis, Listeriosis, Meningitis";"Homo sapiens";"Food production";"Food, Fresh water, Host, Intestinal tract, Soil";"Reassessment of the Listeria monocytogenes pan-genome";TRUE;TRUE
"PRJNA64077";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori NQ4228";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA16352";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia mallei";"Burkholderia mallei 2002721280 (re-annotation)";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Glanders, Pneumonia";"Homo sapiens";"";"Host";"Burkholderia mallei 2002721280";TRUE;TRUE
"PRJNA51021";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC12A";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA17311";"Firmicutes";"Bacilli";"Bacillales";"Listeriaceae";"Listeria";"Listeria monocytogenes";"Listeria monocytogenes FSL N1-017";"Pathogen";"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical, Poultry Pathogen, Swine Pathogen";"Food poisoning, Listeriosis";"Homo sapiens";"Food production";"Fish food product, Food, Fresh water, Host, Intestinal tract, Soil";"Food borne pathogen- Broad institute";TRUE;TRUE
"PRJNA63801";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz LV3096";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA86833";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli B108";"Pathogen";"Animal Pathogen, Medical, Swine Pathogen";"Diarrhea";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Comparative genome analysis of enterohemorrhagic E. coli isolates  - IGS";TRUE;TRUE
"PRJNA48765";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA40028";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Animal";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA39765";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium tuberculosis";"Mycobacterium tuberculosis KZN V2475";"Pathogen";"Human Pathogen, Medical";"Tuberculosis";"Homo sapiens";"Unclassified";"Host";"Mycobacterium tuberculosis KZN V2475";TRUE;TRUE
"PRJNA13967";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Corynebacteriaceae";"Corynebacterium";"Corynebacterium jeikeium";"Corynebacterium jeikeium K411 (re-annotation)";"Lipophilic, MDR (Multi-drug resistant), Pathogen";"Human Pathogen, Medical";"Endocarditis, Meningitis, Nosocomial infection, Septicemia";"Homo sapiens";"Human";"Host, Human skin";"Corynebacterium jeikeium K411";TRUE;TRUE
"PRJEA28309";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Typhi E98-3139";"Pathogen";"Human Pathogen, Medical";"Typhoid fever";"Homo sapiens";"Human";"Host";"Salmonella enterica enterica sv Typhi E98-3139";TRUE;TRUE
"PRJNA64741";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Propionibacteriaceae";"Propionibacterium";"Propionibacterium avidum";"Propionibacterium avidum VPI 0179";"";"Human Microbiome Project (HMP), Medical";"Abscesses, Bacteremia, Osteomyelitis";"Homo sapiens";"Human";"Host, Human, Human abscess, Human oral cavity, Human skin";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA48953";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae EU-NP04";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae genome sequencing project";TRUE;TRUE
"PRJNA38743";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Actinomycetaceae";"Actinomyces";"Actinomyces viscosus";"Actinomyces viscosus C505";"Pathogen";"Comparative analysis, Human Microbiome Project (HMP), Medical";"Actinomycosis, Gingivitis, Periodontal infection";"Homo sapiens";"Human";"Host, Human skin";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA53631";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus 21236";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA50777";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus oralis";"Streptococcus oralis ATCC 35037";"";"Comparative analysis, Medical";"Dental plaque, Endocarditis";"Homo sapiens";"Human";"Host";"Streptococcus oralis ATCC 35037 genome sequencing";TRUE;TRUE
"PRJNA168263";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium abscessus";"Mycobacterium massiliense GO 06";"";"";"Opportunistic infection";"";"";"Host, Human wound";"Mycobacterium massiliense GO 06";TRUE;TRUE
"PRJNA30581";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia multivorans";"Burkholderia multivorans CGD2";"Pathogen";"Human Pathogen, Medical";"Opportunistic infection";"Homo sapiens";"Human";"Host";"Burkholderia multivorans CGD2";TRUE;TRUE
"PRJNA63765";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz LV2805";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA64081";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori NQ4053";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA71967";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-85";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA30579";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia multivorans";"Burkholderia multivorans CGD1";"Pathogen";"Human Pathogen, Medical";"Opportunistic infection";"Homo sapiens";"Human";"Host";"Burkholderia multivorans CGD1";TRUE;TRUE
"PRJNA28583";"Chlamydiae";"Chlamydiia";"Chlamydiales";"Chlamydiaceae";"Chlamydia";"Chlamydia trachomatis";"Chlamydia trachomatis sv. L2 434/BU";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Bronchitis, Lymphogranuloma vernerum, Pharyngitis, Pneumonia, Respiratory infection";"Homo sapiens";"Animal";"Host";"Chlamydia trachomatis L2/434/BU";TRUE;TRUE
"PRJNA31439";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium";"Peptoclostridium difficile";"Clostridium difficile NAP07";"Non-Pathogen";"Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human fecal, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;FALSE
"PRJNA28637";"Chlamydiae";"Chlamydiia";"Chlamydiales";"Chlamydiaceae";"Chlamydia";"Chlamydia psittaci";"Chlamydophila psittaci Mat116";"Pathogen";"Human Pathogen, Medical";"Psittacosis";"Homo sapiens";"Human";"Host";"Chlamydophila psittaci Mat116";TRUE;TRUE
"PRJNA53859";"Chlamydiae";"Chlamydiia";"Chlamydiales";"Chlamydiaceae";"Chlamydia";"Chlamydia trachomatis";"Chlamydia trachomatis RC-Js122";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"";"Homo sapiens";"";"Host";"Analysis of Chlamydia trachomatis strains,Oregon State Univ";TRUE;TRUE
"PRJNA50925";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC3B";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA49061";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Shigella";"Shigella boydii";"Shigella boydii 5216-82";"Pathogen";"";"Dysenteria, Food poisoning";"";"Human";"Host";"Shigella boydii 5216-82";TRUE;TRUE
"PRJNA53821";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus CO-06";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA51055";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC15B";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA70739";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O104:H4 11-4632 C1";"";"";"Food poisoning";"Homo sapiens";"";"Intestinal tract";"Escherichia coli genome sequencing - Broad Institute";TRUE;TRUE
"PRJNA51017";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC11D";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA20777";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae CDC1087-00";"Alpha-hemolytic, Pathogen";"Human Pathogen, Medical";"Meningitis, Otitis media, Pneumonia";"Homo sapiens";"";"Host, Nasopharyngeal microflora";"Alpha-hemolytic Streptococcal isolate";TRUE;TRUE
"PRJNA43143";"Chlamydiae";"Chlamydiia";"Chlamydiales";"Chlamydiaceae";"Chlamydia";"Chlamydia trachomatis";"Chlamydia trachomatis E/150";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Bronchitis, Pharyngitis, Pneumonia";"Homo sapiens";"Unclassified";"Host";"Analysis of Chlamydia trachomatis strains,Oregon State Univ";TRUE;TRUE
"PRJNA72059";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus sobrinus";"Streptococcus sobrinus TCI-215";"Catalase negative, Pathogen";"Dental Pathogen";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA86551";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00893";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA49771";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans 4VF1";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Streptococcus mutans 4VF1";TRUE;TRUE
"PRJNA64007";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HE-40";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Wastewater";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA71949";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-400";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA53785";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus IS-3";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA129419";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O103:H25 CVM9340";"";"Human Pathogen, Medical";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Draft Genome Sequence of Eight Non-O157 Shiga Toxin-producing Escherichia coli (STEC) Strains";TRUE;TRUE
"PRJNA19015";"Proteobacteria";"Gammaproteobacteria";"Thiotrichales";"Francisellaceae";"Francisella";"Francisella tularensis";"Francisella tularensis holarctica FSC022";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Fresh water, Host";"Francisella sequencing project - Broad Institute";TRUE;TRUE
"PRJNA33573";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Brucella";"Brucella ceti";"Brucella ceti B1/94";"Intracellular pathogen, Pathogen";"Biothreat, Human Pathogen, Mammal Pathogen, Medical";"Brucellosis";"Homo sapiens";"";"Host";"Brucella Genome Sequencing";TRUE;TRUE
"PRJNA64101";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp A-20";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA17709";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus anthracis";"Bacillus anthracis Tsiankovskii-I";"Pathogen";"Biothreat, Human Pathogen, Medical";"Anthrax";"Homo sapiens";"";"Host, Soil";"Bacillus anthracis Tsiankovskii-I";TRUE;TRUE
"PRJNA32783";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria gonorrhoeae";"Neisseria gonorrhoeae 1291";"";"Human Pathogen, Medical";"Gonorrhea";"Homo sapiens";"";"Host";"Neisseria gonorrhoeae Genome sequencing Project";TRUE;TRUE
"PRJNA34103";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Actinomycetaceae";"Mobiluncus";"Mobiluncus mulieris";"Mobiluncus mulieris 28-1";"Pathogen";"Human Microbiome Project (HMP), Medical";"Bacterial vaginosis";"Homo sapiens";"Human";"Host, Vagina";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA39783";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus dysgalactiae";"Streptococcus dysgalactiae equisimilis D166B, ATCC 12394";"Pathogen";"Animal Pathogen, Cattle Pathogen";"Mastitis";"Human";"Mammals";"Host, Human, Human abscess, Human child";"Streptococcus dysgalactiae equisimilis D166B, ATCC 12394";TRUE;TRUE
"PRJNA49811";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans M2A";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA48697";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA13430";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Animal";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA63717";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Grippotyphosa 2006006971";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA66415";"Firmicutes";"Bacilli";"Bacillales";"Listeriaceae";"Listeria";"Listeria monocytogenes";"Listeria monocytogenes sv. 4b Scott A";"Pathogen";"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical, Poultry Pathogen, Swine Pathogen";"Abortion, Endocarditis, Food poisoning, Listeriosis, Meningitis, Septicemia";"Homo sapiens";"Human";"Food, Fresh water, Host, Intestinal tract, Soil";"Listeria monocytogenes sv 4b Scott A";TRUE;TRUE
"PRJNA8";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Campylobacteraceae";"Campylobacter";"Campylobacter jejuni";"Campylobacter jejuni jejuni NCTC 11168 (re-annotation)";"Pathogen";"Animal Pathogen, Human Pathogen, Medical, Poultry Pathogen";"Food poisoning, Gastroenteritis";"Homo sapiens";"Human";"Animal feces, Feces, Gastrointestinal tract, Host, Human, Wastewater";"Campylobacter jejuni jejuni NCTC 11168";TRUE;TRUE
"PRJNA53419";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii OIFC110";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Built environment";"Fresh water, Host, Human skin, Skin";"Genome sequencing of  Acinetobacter baumannii Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA97";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Mycoplasma";"Mycoplasma genitalium";"Mycoplasma genitalium G37 (re-annotation)";"Parasite, Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Non-gonococcal urethritis, Respiratory infection, Urogenital infection";"Homo sapiens";"Animal";"Host, Urogenital tract";"Mycoplasma gallisepticum S6";TRUE;TRUE
"PRJNA33025";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Brucella";"Brucella abortus";"Brucella abortus bv. 6 870";"Intracellular pathogen, Pathogen";"Biothreat, Human Pathogen, Mammal Pathogen, Medical";"Spontaneous abortion";"Homo sapiens";"Mammals";"Host";"Brucella Genome Sequencing";TRUE;TRUE
"PRJNA17299";"Firmicutes";"Bacilli";"Bacillales";"Listeriaceae";"Listeria";"Listeria monocytogenes";"Listeria monocytogenes FSL J1-194";"Pathogen";"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical, Poultry Pathogen, Swine Pathogen";"Food poisoning, Listeriosis";"Homo sapiens";"";"Food, Fresh water, Host, Intestinal tract, Soil";"Food borne pathogen- Broad institute";TRUE;TRUE
"PRJNA86519";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00601";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA41277";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus ED133";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Staphylococcus aureus aureus ED133";TRUE;TRUE
"PRJNA13918";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia cenocepacia";"Burkholderia cenocepacia HI2424";"Pathogen";"Human Pathogen, Medical";"Chronic infection, Pneumonia";"Homo sapiens";"Terrestrial";"Host, Soil";"Burkholderia strains";TRUE;TRUE
"PRJNA18773";"Actinobacteria";"Actinobacteria";"Bifidobacteriales";"Bifidobacteriaceae";"Bifidobacterium";"Bifidobacterium longum";"Bifidobacterium longum DJO10A";"Non-Pathogen, Probiotic";"Biotechnological, Food industry";"";"Homo sapiens";"Human";"Host, Intestinal tract";"Lactic Acid Bacteria";TRUE;FALSE
"PRJNA63991";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae CP1037(10)";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae genome sequencing project";TRUE;TRUE
"PRJNA42527";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus faecalis";"Enterococcus faecalis R712";"";"Comparative analysis, Human Microbiome Project (HMP), Medical";"Bacteremia, Endocarditis, Urinary infection";"Homo sapiens";"Human";"Host";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA29169";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium tuberculosis";"Mycobacterium tuberculosis T92";"Pathogen";"Human Pathogen, Medical";"Tuberculosis";"Homo sapiens";"Unclassified";"Host";"Mycobacterium tuberculosis sequencing- Broad Institute";TRUE;TRUE
"PRJDA53963";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus 16K";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Staphylococcus aureus 16K";TRUE;TRUE
"PRJNA71987";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-120";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA46277";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Alcaligenaceae";"Bordetella";"Bordetella pertussis";"Bordetella pertussis B1917";"Pathogen";"Medical, Pathogen";"Respiratory infection";"Homo sapiens";"Human";"Host";"Comparative genomics of prevaccination and modern Bordetella pertussis strains";TRUE;TRUE
"PRJNA72083";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-243";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA28507";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae";"Clostridium";"Clostridium botulinum";"Clostridium botulinum sv. A BoNT/A3 Loch Maree";"Pathogen";"Human Pathogen, Medical";"Botulism";"Homo sapiens";"Birds";"Fresh water, Host, Soil";"WFO-LANL Proposal";TRUE;TRUE
"PRJDA50589";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori F16";"Pathogen";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Evolution in an oncogenic bacterial species with extreme genome plasticity";TRUE;TRUE
"PRJNA114703";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia cenocepacia";"Burkholderia cenocepacia PT15";"Catalase positive, Opportunistic Pathogen";"Medical";"Cepacia syndrome, Opportunistic infection";"Homo sapiens";"Unclassified";"Host, Soil";"Burkholderia cenocepacia PT15";TRUE;TRUE
"PRJNA72079";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-239";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA33621";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio parahaemolyticus";"Vibrio parahaemolyticus Peru-466";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis";"Homo sapiens";"";"Fresh water, Host";"Vibrio parahaemolyticus Peru-466";TRUE;TRUE
